SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,SP_COMPANY_NAME_CLEAN,reprisk_id,company_name,sectors,company_name_clean
"1000memories, Inc.",4337431,"1000memories, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Greylock Partners;Y Combinator Management, LLC;SV Angel;Felicis Ventures Management Company, LLC;Lowercase Capital;Signatures Capital, LLC;Founder Collective Management Co, LLC]",1000memories,1490809,1000memories INC,Software and Computer Services,1000memories
"1105 Media, Inc.",4149253,"1105 Media, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Nautic Partners, LLC;Alta Equity Partners]

Prior Sponsor-Backed [Frontenac Company LLC]",1105 media,426863,1105 Media Inc,Media,1105 media
"11i Solutions, Inc.",4295258,"11i Solutions, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Steel Pier Capital Advisors LLC],11i solutions,1360414,11I Solutions INC,Software and Computer Services,11i solutions
180 Connect Inc. (NASDAQGM:CNCT),4204954,180 Connect Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Midsummer Capital, LLC;Radcliffe Capital Management, L.P.;Centrecourt Asset Management LLC;Laurus Capital Management, LLC]",180 connect,99913,180 Connect Inc,Technology Hardware and Equipment,180 connect
"1-800 CONTACTS, INC. (NASDAQGM:CTAC)",4327099,"1-800 CONTACTS, INC.",Operating,Private Company,"Pending or Current Sponsor-Backed [Leonard Green & Partners, L.P.;KKR & Co. Inc. (NYSE:KKR) (NYSE : KKR)]

Prior Sponsor-Backed [Thomas H. Lee Partners, L.P.;AEA Investors LP;Fenway Partners, LLC;THL Managers VII, LLC;Camelot Venture Group;Leavitt Equity Partners;Camelot Ventures]",1800 contacts,203008,1-800 Contacts Inc,Software and Computer Services | Retail,1800 contacts
"1-800-FLOWERS.COM, Inc. (NASDAQGS:FLWS)",4122591,"1-800-FLOWERS.COM, Inc.",Operating,Public Company,"Prior Sponsor-Backed [Wand Partners Inc.;J.P. Morgan Partners, LLC;Argentum Group;L Catterton Europe SAS;First Analysis Corporation;Ethos Private Equity;Panorama Capital;SoftBank Capital;CCMP Capital Advisors, LP;Benchmark]",1800flowerscom,37541,1-800-Flowers.com Inc,Retail,1800flowerscom
"1895 Bancorp of Wisconsin, Inc. (OTCQX:BCOW)",11123920,"1895 Bancorp of Wisconsin, Inc.",Operating,Public Company,Never Sponsor-Backed,1895 bancorp of wisconsin,974553,1895 Bancorp of Wisconsin Inc,Financial Services,1895 bancorp of wisconsin
1st Capital Bancorp (OTCPK:FISB),4144316,1st Capital Bancorp,Acquired,Public Company,Prior Sponsor-Backed [Wellington Management Group LLP (NASDAQGM : );1st & Main Growth Partners],1st capital bancorp,2354958,1st Capital Bancorp,Financial Services,1st capital bancorp
1st Centennial Bancorp. (OTCPK:FCEN),4051209,1st Centennial Bancorp.,Out of Business,Public Company,Never Sponsor-Backed,1st centennial bancorp,58450,1st Centennial Bancorp,Banks,1st centennial bancorp
"1st Century Bancshares, Inc. (NASDAQGM:FCTY)",4190194,"1st Century Bancshares, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Palisair Capital LLC;Basswood Capital Management, L.L.C.;Belvedere Capital Partners, LLC;Maltese Capital Management, LLC]",1st century bancshares,46889,1st Century Bancshares Inc,Banks,1st century bancshares
"1st Colonial Bancorp, Inc. (OTCPK:FCOB)",4074177,"1st Colonial Bancorp, Inc.",Operating,Public Company,Pending or Current Sponsor-Backed [1st & Main Growth Partners],1st colonial bancorp,47774,1st Colonial Bancorp Inc,Banks,1st colonial bancorp
1st Pacific Bancorp (OTCPK:FPBN),4152108,1st Pacific Bancorp,Out of Business,Private Company,Never Sponsor-Backed,1st pacific bancorp,52078,1st Pacific Bancorp,Banks,1st pacific bancorp
"1ST SUMMIT BANCORP of Johnstown, Inc. (OTCPK:FSMK)",1023101,"1ST SUMMIT BANCORP of Johnstown, Inc.",Operating,Public Company,Never Sponsor-Backed,1st summit bancorp of johnstown,2352228,1st Summit Bancorp of Johnstown Inc,Banks,1st summit bancorp of johnstown
"21st Century Newspapers, Inc.",4147955,"21st Century Newspapers, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [PFLT Funding II, LLC (NASDAQGM:MCGC) (NASDAQGM : MCGC);Goldman Sachs Asset Management, L.P.;Kelso & Company, L.P.]",21st century newspapers,1092413,21st Century Newspapers INC,Telecommunications,21st century newspapers
"29West, Inc.",4254319,"29West, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Susquehanna Private Equity Investments, LLC;Susquehanna Growth Equity, LLC]",29west,1362844,29west INC,Software and Computer Services,29west
"3001 International, Inc.",4149388,"3001 International, Inc.",Operating,Private Company,Never Sponsor-Backed,3001 international,1659502,"3001 International, Inc.",Software and Computer Services,3001 international
5E Advanced Materials Inc.,106243167,5E Advanced Materials Inc.,Operating,Private Company,Never Sponsor-Backed,5e advanced materials,2486128,5E Advanced Materials Inc,Mining,5e advanced materials
"5E Advanced Materials, Inc. (NASDAQGS:FEAM)",6329916,"5E Advanced Materials, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Armistice Capital LLC;Ascend Capital Advisors (S) Pte. Ltd.;Bluescape Energy Partners, LLC]",5e advanced materials,2486128,5E Advanced Materials Inc,Mining,5e advanced materials
7 Star Entertainment,4303646,7 Star Entertainment,Operating,Private Company,Never Sponsor-Backed,7 star entertainment,1476414,7 Star Entertainment,Software and Computer Services,7 star entertainment
724 Solutions Inc. (OTCPK:SVNX),4090213,724 Solutions Inc.,Acquired,Private Company,"Prior Sponsor-Backed [General Motors Investment Management Corporation;TVM Capital GmbH;Blue Sky Capital Corporation;Austin Ventures;Sony Venture Capital;TGF Management Corp.;Bayshore Capital Inc.;FTV Management Company, L.P.;Escalate Capital Partners]",724 solutions,1362899,724 Solutions INC,Software and Computer Services,724 solutions
"7-Eleven, Inc. (NYSE:SE)",3000399,"7-Eleven, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Signet Healthcare Partners],7eleven,4886,7-Eleven Inc,Retail,7eleven
"A Bit Lucky, Inc.",4335879,"A Bit Lucky, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [XG Ventures;Founder Collective Management Co, LLC;SV Angel;Rembrandt Venture Management LLC;Felicis Ventures Management Company, LLC;Blumberg Capital, L.L.C.;Lerer Hippeau Ventures Management, LLC]",a bit lucky,1355954,A BIT Lucky INC,Software and Computer Services,a bit lucky
A.B. Watley Group Inc. (OTCPK:ABW),4046416,A.B. Watley Group Inc.,Out of Business,Private Company,"Prior Sponsor-Backed [Franklin Mutual Advisers, LLC;Boston Partners Global Investors, Inc.;Weintraub Capital Management, L.P.;New York Community Investment Company]",ab watley group,59565,AB Watley Group Inc,Financial Services,ab watley group
A21 Inc. (OTCPK:ATWO.Q),4212136,A21 Inc.,Out of Business,Public Company,"Prior Sponsor-Backed [Angelo, Gordon & Co., L.P.;Gabriel Capital Group;Barron Partners LP;Aslan Capital Management, LP;Ahab Capital Management, Inc.;StarVest Partners, L.P.;LaGrange Capital Management, LLC]",a21,59285,a21 Inc,Software and Computer Services,a21
Abacus Federal Savings Bank,1003012,Abacus Federal Savings Bank,Operating,Private Company,Never Sponsor-Backed,abacus federal savings bank,76568,Abacus Federal Savings Bank,Banks,abacus federal savings bank
ABARTA Inc.,4400441,ABARTA Inc.,Operating,Private Company,Never Sponsor-Backed,abarta,261432,ABARTA Inc,Food and Beverage,abarta
Abercrombie & Fitch Co. (NYSE:ANF),4066681,Abercrombie & Fitch Co.,Operating,Public Company,"Pending or Current Sponsor-Backed [SLS Management, LLC;California Public Employees' Retirement System;Engaged Capital, LLC]

Prior Sponsor-Backed [Invesco Advisers, Inc.]",abercrombie fitch,1433,Abercrombie & Fitch Co,Retail,abercrombie fitch
"Able Lending, Inc.",4624909,"Able Lending, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [The Founders Fund, LLC;Base Ventures;Floodgate Fund, LP;EMERGE s.a.-n.v.;Westech Investment Advisors, LLC;Expansion Capital Partners, LLC]

Prior Sponsor-Backed [Correlation Ventures, L.P.;ZenStone Venture Capital LLC;Peterson Partners, LLC;TDF Ventures LLC;Soma Ventures]",able lending,1245254,Able Lending INC,Financial Services,able lending
ABN AMRO Securities (USA) Inc.,109476,ABN AMRO Securities (USA) Inc.,Operating Subsidiary,Private Company,Never Sponsor-Backed,abn amro securities usa,2116248,ABN Amro Securities (USA) LLC,Financial Services,abn amro securities usa
"AboveNet, Inc. (NYSE:ABVT)",4057659,"AboveNet, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Trautman Wasserman & Co., Inc.;Columbia Wanger Asset Management, LLC;Corvex Management LP;Kline Hawkes & Co.;Monitor Venture Associates, LLC;Eagle River Investments LLC;CDIB Ventures;Technology Associates Management Co.;TA Associates (UK), LLP;JGD Management Corp.;TA Associates Management, L.P.]",abovenet,11959,AboveNet Inc,Telecommunications,abovenet
"ABS Capital Partners, Inc.",4155913,"ABS Capital Partners, Inc.",Operating,Private Company,Never Sponsor-Backed,abs capital partners,108157,ABS Capital Partners Inc,Financial Services,abs capital partners
Absecon Bancorp (OTCPK:ASCN),1974214,Absecon Bancorp,Operating,Public Company,Never Sponsor-Backed,absecon bancorp,86684,Absecon Bancorp,Financial Services,absecon bancorp
ACA Financial Guaranty Corporation,4047643,ACA Financial Guaranty Corporation,Operating,Private Company,Never Sponsor-Backed,aca financial guaranty corporation,106782,ACA Financial Guaranty Corporation,Insurance,aca financial guaranty corporation
Academy Mortgage Corp.,4304355,Academy Mortgage Corp.,Operating,Private Company,Never Sponsor-Backed,academy mortgage,2556209,Academy Mortgage Corp,Financial Services,academy mortgage
"Academy Securities, Inc.",4112305,"Academy Securities, Inc.",Operating,Private Company,Prior Sponsor-Backed [Stony Lonesome Group],academy securities,236019,Academy Securities Inc,Financial Services,academy securities
Acadia Realty Trust (NYSE:AKR),103085,Acadia Realty Trust,Operating,Public Company,"Prior Sponsor-Backed [Invesco Advisers, Inc.;Almanac Realty Investors, LLC]",acadia realty trust,15038,Acadia Realty Trust,Financial Services,acadia realty trust
Acadian Asset Management Inc. (NYSE:AAMI),4547048,Acadian Asset Management Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Fidelity Management & Research Company LLC;Paulson & Co. Inc.]

Prior Sponsor-Backed [HNA Capital U.S.]",acadian asset management,24394,Acadian Asset Management LLC,Financial Services,acadian asset management
Accel Partners,4182982,Accel Partners,Operating,Private Company,"Pending or Current Sponsor-Backed [Grove Street Advisors, LLC;Anvaya Ventures Inc.;Univest Group]",accel partners,2213678,Accel Partners & Co Inc,Financial Services,accel partners
"Accero, Inc.",4108464,"Accero, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Vista Equity Partners Management, LLC]",accero,1024683,Accero INC,Support Services (Industrial Goods and Services),accero
"Accertify, Inc.",4274865,"Accertify, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Accel-KKR LLC;Altaroc Partners SA]

Prior Sponsor-Backed [Intel Capital Corporation;ForgePoint Capital Management, LLC;Trident Capital, Inc.]",accertify,1377309,Accertify INC,Software and Computer Services,accertify
Access Data Corp.,4234470,Access Data Corp.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [J. & W. Seligman & Co. Incorporated;Wheatley Partners L.P.;W Capital Management, LLC;Arlington Asset Investment Corp. (NYSE:AAIC) (NYSE : AAIC)]",access data,2531337,Access Data Corp,Software and Computer Services,access data
"Access Financial Services, Inc.",4030939,"Access Financial Services, Inc.",Operating,Private Company,Never Sponsor-Backed,access financial services,2458292,Access Financial Services Inc,Financial Services,access financial services
"Access Media 3, Inc.",4294966,"Access Media 3, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [ORIX Growth Capital, LLC;Main Street Capital Corporation (NYSE:MAIN) (NYSE : MAIN)]

Prior Sponsor-Backed [WP Global Partners LLC;Petra Capital Partners, LLC;Meritage Funds]",access media 3,1070878,Access Media 3 Inc,Telecommunications,access media 3
"Access Point Financial, LLC",4295339,"Access Point Financial, LLC",Operating,Private Company,"Pending or Current Sponsor-Backed [InterVest Capital Partners LLC]

Prior Sponsor-Backed [Stone Point Capital LLC]",access point financial,202973,Access Point Financial Inc,Financial Services,access point financial
"Access to Money, Inc. (NASDAQGM:TRMM)",4296353,"Access to Money, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Lampe, Conway & Co. LLC]",access to money,49642,Access to Money Inc,Support Services (Industrial Goods and Services),access to money
"Accipiter Solutions, Inc.",4149456,"Accipiter Solutions, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Frontier Growth;Intersouth Partners;Tri-State Investment Group;Cordova Ventures;Southeast Interactive Technology Funds;Gray Ventures Inc.;The Aurora Funds, Inc.]",accipiter solutions,1066398,Accipiter Solutions INC,Support Services (Industrial Goods and Services),accipiter solutions
"Acclaim Games, Inc.",4262584,"Acclaim Games, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Mayfield Fund, L.L.C.]",acclaim games,1368374,Acclaim Games INC,Software and Computer Services,acclaim games
"Acclaris, Inc.",4262683,"Acclaris, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [HarbourVest Partners, LLC;Trident Capital, Inc.;Lion Investments;Staley Capital Management LLC;Escalate Capital Partners;ORIX Growth Capital, LLC;Updata Management, LLC;MM Venture Partners;Lightview Capital, LLC]",acclaris,1236447,Acclaris Inc,Support Services (Industrial Goods and Services),acclaris
"Accord Human Resources, Inc.",4163053,"Accord Human Resources, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Virgo Capital],accord human resources,1076068,Accord Human Resources INC,Support Services (Industrial Goods and Services),accord human resources
"AccountNow, LLC",4344628,"AccountNow, LLC",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Invesco Private Capital, Inc.;Oak Hill Venture Partners;Invesco Ltd. (NYSE:IVZ) (NYSE : IVZ);Oak Hill Capital Management, LLC;Rockbridge Growth Equity, LLC;Trident Capital, Inc.;Industry Ventures, L.L.C.;Granite Hill Capital Partners, LLC;Grayhawk Capital, LLC;Novirian Capital LLC;Core Innovation Capital LLC;Canopy Capital Partners;Flybridge Capital Partners;VSP Capital;Soda Rock Partners]",accountnow,368101,AccountNow Inc,Financial Services,accountnow
Accredited Home Lenders Holding Co. (NASDAQGM:LEND),4077674,Accredited Home Lenders Holding Co.,Out of Business,Private Company,"Prior Sponsor-Backed [Lone Star Americas Acquisitions, Inc.;Ocean Park Capital Management;Capital Z Partners Management, LLC;Farallon Capital Management, L.L.C.;Crosspoint Venture Partners;Enterprise Partners Venture Capital]",accredited home lenders holding,608969,Accredited Home Lenders Holding Co,Financial Services,accredited home lenders holding
Accuity Inc.,4225973,Accuity Inc.,Operating Subsidiary,Private Company,Prior Sponsor-Backed [Investcorp Holdings B.S.C. (BAX:INVCORP) (BAX:INVCORP)],accuity,147064,Accuity Inc,Financial Services,accuity
"Accuro Healthcare Solutions, Inc.",4289510,"Accuro Healthcare Solutions, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Select Capital Ventures;Welsh, Carson, Anderson & Stowe, L.P.;Santé Ventures, LLC]",accuro healthcare solutions,1335599,Accuro Healthcare Solutions INC,Health Care Equipment and Services,accuro healthcare solutions
Ace Cogeneration Co.,4058318,Ace Cogeneration Co.,Operating,Private Company,"Prior Sponsor-Backed [ArcLight Capital Partners, LLC]",ace cogeneration,649970,ACE Cogeneration Co,Alternative Energy,ace cogeneration
"Ace Mortgage Funding, Inc.",4105365,"Ace Mortgage Funding, Inc.",Out of Business,Private Company,Prior Sponsor-Backed [Roark Capital Management LLC],ace mortgage funding,1242760,ACE Mortgage Funding LLC,Financial Services,ace mortgage funding
"Aceva Technologies, Inc.",4154103,"Aceva Technologies, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Westech Investment Advisors, LLC;Sequoia Capital Operations LLC;Accel Partners;WarnerMedia Investments;Clayton, Dubilier & Rice, LLC;Mentor Capital Group;Focus Ventures;Clearstone Venture Partners;Oracle Ventures;Charter Life Sciences]",aceva technologies,1367959,Aceva Technologies INC,Software and Computer Services,aceva technologies
"Achex, Inc.",4121233,"Achex, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Owl Capital Group;First Data Corp. Internet Ventures;RRE Ventures LLC;Threshold Ventures Management Company, LLC]",achex,1242052,Achex INC,Financial Services,achex
"ACI Worldwide, Inc. (NASDAQGS:ACIW)",4097321,"ACI Worldwide, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [P2 Capital Partners, LLC;Starboard Value LP]

Prior Sponsor-Backed [Norwest Equity Partners;ABS Capital Partners, Inc.;JMI Management, L.P.;NVP Associates, LLC]",aci worldwide,2458282,ACI Worldwide Corp,Software and Computer Services | Financial Services,aci worldwide
"ACME Communications, Inc. (OTCPK:ACME)",4121751,"ACME Communications, Inc.",Out of Business,Private Company,"Prior Sponsor-Backed [BancBoston Capital, Inc.;Wynnefield Capital, Inc.;Alta Equity Partners;Seaport Capital, LLC;Burr, Egan, Deleage & Co.;TCW Investment Management Company LLC;BancBoston Ventures, Inc.]",acme communications,50186,Acme Communications Inc,Media,acme communications
"Acosta, Inc.",4115078,"Acosta, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Oaktree Capital Management, L.P.;GIC Private Limited;Franklin Square Holdings, L.P.;Nexus Capital Management LP;Pinebridge Capital Partners, Inc.;Elliott Management Corporation;Davidson Kempner Capital Management LP;PineBridge Investments LLC]

Prior Sponsor-Backed [Spice Private Equity AG (OTCPK:SPPE.F) (OTCPK : SPPE.F);The Carlyle Group Inc. (NASDAQGS:CG) (NASDAQGS : CG);Chartwell Capital Management Co., Inc.;Thomas H. Lee Partners, L.P.;AEA Investors LP;Berkshire Partners LLC]",acosta,155713,Acosta Inc,Support Services (Industrial Goods and Services) | Media,acosta
"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [J.F. Lehman and Company, LLC;North American Funds LLC;TJC LP]",acr electronics,1096793,ACR Electronics INC,Personal and Household Goods,acr electronics
"Acrisure Holdings, Inc.",8379969,"Acrisure Holdings, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Partners Group (USA) Inc.],acrisure holdings,566181,Acrisure Holdings Inc,Financial Services,acrisure holdings
Actimize Inc.,4164922,Actimize Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Viola Partners;Giza Venture Capital;FTV Management Company, L.P.;Viola Ventures;Vertex Management Ltd.;Vertex Venture Holdings Ltd (SGX:V05) (SGX : V05)]",actimize,122770,Actimize Inc,Software and Computer Services,actimize
"Active Interest Media, Inc.",4151633,"Active Interest Media, Inc.",Operating,Private Company,"Prior Sponsor-Backed [Wind Point Advisors, LLC;MidCoast Capital, LLC]",active interest media,618569,Active Interest Media Inc,Media,active interest media
"Adage, LLC",4800105,"Adage, LLC",Operating,Private Company,Never Sponsor-Backed,adage,62258,Adage LLC,Alternative Energy,adage
"Adams Resources & Energy, Inc. (NYSEAM:AE)",4010186,"Adams Resources & Energy, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Needham Investment Management, LLC;THG Securities Advisors, LLC;Dimensional Fund Advisors LP;Renaissance Technologies LLC]",adams resources energy,17918,Adams Resources & Energy Inc,Oil and Gas,adams resources energy
"Adap.tv, Inc.",4290588,"Adap.tv, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Gemini Israel Funds;Redpoint Management, LLC;Bessemer Venture Partners;Spark Capital Partners, LLC]",adaptv,1363004,Adap.TV Inc,Software and Computer Services,adaptv
"AdaptiveAds, Inc.",4225495,"AdaptiveAds, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Threshold Ventures Management Company, LLC]",adaptiveads,1057143,Adaptiveads INC,Support Services (Industrial Goods and Services),adaptiveads
"AdaptiveBlue, Inc.",4343205,"AdaptiveBlue, Inc.",Out of Business,Private Company,"Prior Sponsor-Backed [WarnerMedia Investments;Union Square Ventures, LLC;Rho Capital Partners, Inc.;Biltmore Ventures, LP;Knight's Bridge Capital Partners Inc.;RRE Ventures LLC]",adaptiveblue,1488634,AdaptiveBlue Inc,Software and Computer Services,adaptiveblue
"Addepar, Inc.",4538520,"Addepar, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Westech Investment Advisors, LLC;Valor Management LLC;Panorama Point Partners, LLC;Innovation Endeavors LLC;Formation8 Partners, LLC;Craft Ventures, LLC;Snow Fox Partners LLC;K3 Diversity Ventures;Global Alternative Investment Management LLC;Blumberg Capital, L.L.C.;Anduin Ventures;Chaotic Investments;PrivatEquity.biz;Cota Capital Management LLC;AlRajhi Alpha;Versatile Venture Capital;Burch Creative Capital LLC;ff Venture Capital, LLC;Streamlined Ventures;Manhattan Venture Partners;D1 Capital Partners L.P.;Primera Capital;Signatures Capital, LLC;Sway Ventures, Inc.;The Cambria Group;8VC;WestCap Investment Partners, LLC;CE Innovation Capital;Bridgeview Venture Partners]

Prior Sponsor-Backed [Group 11;Capital Factory;Citizen.VC;InterAlpen Partners, LLC;Altered Capital;TJNS Capital]",addepar,610727,Addepar Inc,Software and Computer Services,addepar
"AdECN, Inc.",4167139,"AdECN, Inc.",Acquired,Private Company,Prior Sponsor-Backed [Accel Partners;Labrador Ventures;Band of Angels;Novus Ventures;The Individuals' Venture Fund;Accelerator Ventures],adecn,1059863,Adecn,Support Services (Industrial Goods and Services),adecn
Adelphia Communications Corp. (OTCPK:ADEL.Q),4012017,Adelphia Communications Corp.,Out of Business,Private Company,"Prior Sponsor-Backed [JPMP Capital, LLC;Blackstone Inc. (NYSE:BX) (NYSE : BX);HarbourVest Partners, LLC;AlpInvest Partners B.V.;Madison Ventures Plus, LLC;Highfields Capital Management LP]",adelphia communications,65180,Adelphia Communications Corp,Telecommunications,adelphia communications
"ADESA, Inc. (NYSE:KAR)",4021791,"ADESA, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [PCP Managers, L.P.;Goldman Sachs Asset Management, L.P.;Kelso & Company, L.P.;Noro-Moseley Partners;ValueAct Capital Management, L.P.]",adesa,196147,Adesa Inc,Retail | Automobiles and Parts,adesa
"AdEx Media, Inc. (OTCPK:ADXM)",4212068,"AdEx Media, Inc.",Operating,Private Company,Never Sponsor-Backed,adex media,50120,Adex Media Inc,Software and Computer Services,adex media
Adjoined Consulting LLC,4114947,Adjoined Consulting LLC,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [New River Capital Partners;C/max Capital Corporation;Noro-Moseley Partners;Columbia Capital, L.P.;Cambridge Technology Capital]",adjoined consulting,1026458,Adjoined Consulting LLC,Support Services (Industrial Goods and Services),adjoined consulting
"Adknowledge, Inc.",4228782,"Adknowledge, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [NGP Management Oy;TPG Growth, LLC]

Prior Sponsor-Backed [Guild Capital Management LLC;TCMI Inc.;JMI Management, L.P.]",adknowledge,231817,Adknowledge Inc,Media,adknowledge
AdMeld LLC,4290437,AdMeld LLC,Acquired,Private Company,"Prior Sponsor-Backed [NVP Associates, LLC;Spark Capital Partners, LLC;WarnerMedia Investments;Foundry Group,LLC;Imagination Capital, LLC]",admeld,611337,Admeld Inc,Media,admeld
"AdReady, Inc.",4414217,"AdReady, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Bain Capital Ventures,LP;Khosla Ventures, LLC;Madrona Venture Group, LLC]",adready,1077368,Adready INC,Telecommunications,adready
"Adscape Media, Inc.",4154492,"Adscape Media, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [H.I.G. Capital, LLC;H.I.G. Growth Partners, LLC]",adscape media,1059113,Adscape Media,Support Services (Industrial Goods and Services),adscape media
"Adtuitive, Inc.",4247874,"Adtuitive, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [.406 Ventures, LLC]",adtuitive,1671302,"Adtuitive, Inc.",Support Services (Industrial Goods and Services),adtuitive
"Advance Publications, Inc.",4137158,"Advance Publications, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Schechter Private Capital, LLC]",advance publications,121497,Advance Publications Inc,Media,advance publications
"Advanced Academics, Inc.",4183695,"Advanced Academics, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [i2E Management Company, Inc.;Council Capital;Chisholm Private Capital Partners, LC;Prosperitas Investment Partners, L.P.;Chrysalis Ventures;MetaFund]",advanced academics,1483399,Advanced Academics,Software and Computer Services,advanced academics
"Advanced Energy Industries, Inc. (NASDAQGS:AEIS)",4306705,"Advanced Energy Industries, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [T. Rowe Price Associates, Inc.;Fidelity Management & Research Company LLC;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);Invesco Advisers, Inc.]",advanced energy industries,12670,Advanced Energy Industries Inc,Technology Hardware and Equipment,advanced energy industries
"Advanced Equities, Inc.",4097717,"Advanced Equities, Inc.",Out of Business,Private Company,Never Sponsor-Backed,advanced equities,92414,Advanced Equities Inc,Financial Services,advanced equities
"Advanced Marketing Services, Inc. (OTCPK:MKTS.Q)",4066745,"Advanced Marketing Services, Inc.",Out of Business,Public Company,Never Sponsor-Backed,advanced marketing services,1080313,Advanced Marketing Services,Telecommunications | Retail,advanced marketing services
"Advanced Oxygen Technologies, Inc. (OTCPK:AOXY)",4863396,"Advanced Oxygen Technologies, Inc.",Operating,Public Company,Never Sponsor-Backed,advanced oxygen technologies,60087,Advanced Oxygen Technologies Inc,Financial Services,advanced oxygen technologies
"Advanced Pain Management Holdings, Inc.",4328253,"Advanced Pain Management Holdings, Inc.",Operating,Private Company,Never Sponsor-Backed,advanced pain management holdings,601280,Advanced Pain Management Holdings Inc,Health Care Equipment and Services,advanced pain management holdings
"Advanced Recycling Sciences, Inc. (OTCPK:ARYC)",4088401,"Advanced Recycling Sciences, Inc.",Operating,Private Company,Never Sponsor-Backed,advanced recycling sciences,87730,Advanced Recycling Sciences Inc,Support Services (Industrial Goods and Services),advanced recycling sciences
AdvanSix Inc. (NYSE:ASIX),4698704,AdvanSix Inc.,Operating,Public Company,Never Sponsor-Backed,advansix,220053,AdvanSix Inc,Chemicals,advansix
Advanstar Communications Inc.,4088470,Advanstar Communications Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Hellman & Friedman LLC;Fremont Group;Veronis Suhler Stevenson;Saratoga Investment Corp. (NYSE:SAR) (NYSE : SAR);Apriori Capital Partners L.P.;Ares Management Corporation (NYSE:ARES) (NYSE : ARES);GoldPoint Partners LLC;Anchorage Capital Group, L.L.C.;Spice Private Equity AG (OTCPK:SPPE.F) (OTCPK : SPPE.F);VSS Fund Management LLC]",advanstar communications,293409,Advanstar Communications Inc,Support Services (Industrial Goods and Services) | Media,advanstar communications
Advanta Corp. (OTCPK:ADVN.Q),102846,Advanta Corp.,Out of Business,Private Company,Never Sponsor-Backed,advanta,13508,Advanta Corp,Financial Services,advanta
Advantage Capital Development Corp. (OTCPK:AVCP),4096981,Advantage Capital Development Corp.,Operating,Private Company,Pending or Current Sponsor-Backed [Yorkville Advisors Global LP],advantage capital development,50606,Advantage Capital Development Corp,Financial Services,advantage capital development
"Advantage Payroll Services, Inc. (NASDAQGM:APAY)",4236268,"Advantage Payroll Services, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Silver Oak Services Partners, LLC;Willis Stein & Partners, L.L.C.]",advantage payroll services,1075408,"Advantage Payroll Services, Inc.",Support Services (Industrial Goods and Services),advantage payroll services
