SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,SP_COMPANY_NAME_CLEAN,reprisk_id,company_name,sectors,company_name_clean
"Diamond Hill Investment Group, Inc. (NASDAQGS:DHIL)",112960,"Diamond Hill Investment Group, Inc.",Operating,Public Company,Never Sponsor-Backed,diamond hill investment group,36497,Diamond Hill Investment Group Inc,Financial Services,diamond hill investment group
"Diamond Offshore Drilling, Inc. (NYSE:DO)",4010562,"Diamond Offshore Drilling, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);The Vanguard Group, Inc.;Capital Research Global Investors;KGH Ltd.]",diamond offshore drilling,6393,Diamond Offshore Drilling Inc,Oil and Gas,diamond offshore drilling
DiamondRock Hospitality Company (NYSE:DRH),4098626,DiamondRock Hospitality Company,Operating,Public Company,"Pending or Current Sponsor-Backed [FBR Investment Management, Inc.;Alpine Woods Capital Investors, LLC;Mercury Real Estate Advisors LLC;Texas County & District Retirement System]",diamondrock hospitality,11265,DiamondRock Hospitality Co,Financial Services,diamondrock hospitality
"Dianon Systems, Inc. (NASDAQGM:DIAN)",4343317,"Dianon Systems, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Blum Capital Partners, L.P.;VR Adviser, LLC;Domain Associates, L.L.C.]",dianon systems,1322464,Dianon Systems INC,Health Care Equipment and Services,dianon systems
"DIAS Holding, Inc. (OTCPK:DSHL)",4073096,"DIAS Holding, Inc.",Operating,Private Company,Never Sponsor-Backed,dias holding,52804,DIAS Holding Inc,Financial Services,dias holding
"Dick Clark Productions, Inc. (NASDAQGM:DCPI)",4149455,"Dick Clark Productions, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Eldridge Industries LLC]

Prior Sponsor-Backed [Red Zone Capital Management Co., L.L.C.;Guggenheim Partners, LLC;PFLT Funding II, LLC (NASDAQGM:MCGC) (NASDAQGM : MCGC);CDP Capital Communications;Andell Holdings, LLC]",dick clark productions,132990,Dick Clark Productions LLC,Media,dick clark productions
"Dickson Media, Inc. (OTCPK:DKMI)",4168541,"Dickson Media, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [VeeMost Technologies Holdings, Inc. (OTCPK:GDVM) (OTCPK : GDVM)]

Prior Sponsor-Backed [GTCR LLC]",dickson media,93178,Dickson Media Inc,Media,dickson media
"Digital Broadcasting Group, Inc.",4305336,"Digital Broadcasting Group, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Revel Partners],digital broadcasting group,1059613,Digital Broadcasting Group INC,Support Services (Industrial Goods and Services),digital broadcasting group
Digital Currency Group Inc.,4639319,Digital Currency Group Inc.,Operating,Private Company,"Pending or Current Sponsor-Backed [GIC Private Limited;RRE Ventures LLC;HCM Prominent;Bain Capital Ventures,LP;FirstMark Capital, LLC;Kingsbridge Wealth Management, Inc.;Venturra Capital;Tribe Capital Management, LLC;CapitalG Management Company, LLC;Social Capital PEP Management, LLC;Novel TMT Ventures Limited;The Social+Capital Partnership, L.L.C.;Keiretsu Capital LLC;Gibraltar Ventures, LLC;Horizon Kinetics Holding Corporation (OTCPK:HKHC) (OTCPK : HKHC);Balderton Capital (UK) LLP;Transamerica Ventures, LLC;HVL Ventures Limited;Annox Capital;CME Ventures LLC;Ribbit Management Company, LLC;Blockchain Coinvestors Fund Manager LLC]

Prior Sponsor-Backed [Oak HC/FT Management Company, LLC;OMERS Ventures Management, Inc.;Radian Capital LLC;New York Life Ventures]",digital currency group,230140,Digital Currency Group Inc,Financial Services,digital currency group
"Digital Domain Media Group, Inc. (OTCPK:DDMG)",4291539,"Digital Domain Media Group, Inc.",Out of Business,Public Company,"Prior Sponsor-Backed [Tenor Capital Management Company, L.P.;Macquarie Investment Management Limited;Oman International Development and Investment Company SAOG (MSM:OMVS) (MSM : OMVS);Hartz Capital;Mountain Partners AG;TenX Ventures Inc.;Hudson Bay Capital Management LP;Kingsbrook Partners LP;Palm Beach Capital;Iroquois Capital Management, LLC;Empery Asset Management, LP]",digital domain media group,91006,Digital Domain Media Group Inc,Media,digital domain media group
